prefecture_code,prefecture_name_ja,survey_year,observation_count_per_m2,baseline_average_count_per_m2,official_comparison_percent,baseline_note,source_url,source_page,source_section,published_date,retrieved_at,publisher
23,愛知県,2024,8370,4593,182,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
24,三重県,2024,7691,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
25,滋賀県,2024,10749,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
26,京都府,2024,17098,3033,564,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
27,大阪府,2024,18932,3847,492,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
28,兵庫県,2024,2198,2125,103,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
29,奈良県,2024,8753,2034,430,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
30,和歌山県,2024,21050,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
31,鳥取県,2024,6920,4585,151,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
32,島根県,2024,6802,4677,145,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
33,岡山県,2024,5604,4949,113,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
34,広島県,2024,4128,4013,103,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
35,山口県,2024,7418,7213,103,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
36,徳島県,2024,18060,7554,239,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
37,香川県,2024,5575,6272,89,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
38,愛媛県,2024,11842,6800,174,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
39,高知県,2024,6897,5737,120,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
40,福岡県,2024,4074,1902,214,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
41,佐賀県,2024,4562,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
42,長崎県,2024,3991,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
43,熊本県,2024,1220,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
44,大分県,2024,2712,2379,114,10-year average (2014-2023),https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
45,宮崎県,2024,2855,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
46,鹿児島県,2024,2447,,,new observation; no historical baseline,https://www.env.go.jp/content/000278567.pdf,1,資料1,2024-12-26,2026-09-02T10:35:18+09:00,"Ministry of the Environment, Japan"
